2013;29;10;29/12/2013;6;Albury tournament, coach Walker & Rapley memorial;Yes;0.3;2013_12_29_volume_029_issue_010.pdf
2013;29;9;30/10/2013;6;Presentation night winners, Kylie Turnley & Rodriguez the bar tender;Yes;0.7;2013_10_30_volume_029_issue_009.pdf
2013;29;8;23/09/2013;6;VBHBA finals, 3 on 3 & smoke profile;Yes;0.5;2013_09_23_volume_029_issue_008.pdf
2013;29;7;12/08/2013;6;Big V season roundup & Damien Murphy profile;Yes;0.5;2013_08_12_volume_029_issue_007.pdf
2013;29;6;10/06/2013;7;Jen Naughton, trivia night & Big V mid-season review;Yes;0.3;2013_06_10_volume_029_issue_006.pdf
2013;29;5;15/05/2013;7;CYMS finals, toga night, Daniel Sneddon & Dean Vickerman interview;Yes;0.5;2013_05_15_volume_029_issue_005.pdf
2013;29;4;09/04/2013;7;Top 10 Big V moments of all-time & Anj Goundar profile;Yes;0.4;2013_04_09_volume_029_issue_004.pdf
2013;29;3;14/03/2013;7;Justin Turnley, Big V previews & Ballarat tournament;Yes;4;2013_03_14_volume_029_issue_003.pdf
2013;29;2;07/02/2013;6;Warrnambool, Bec Wardle & the committee;Yes;0.7;2013_02_07_volume_029_issue_002.pdf
2013;29;1;08/01/2013;6;Babies, Bazils profile & Christmas party;Yes;0.3;2013_01_08_volume_029_issue_001.pdf
2000;28;X;15/07/2000;2;Match & AUG qualifying tournament reports, social activities;Yes;0.3;2000_07_15_volume_028_issue_00X.pdf
1997;25;3;15/06/1997;6;Warrnambool, Ballarat, Mt Gambier & Portland reports & 96/97 summer season team reports. Social notes, coming events & committee list. Labelled as Vol 16;Yes;0.9;1997_06_15_volume_025_issue_003.pdf
1997;25;2;;;This issue not found;;;
1997;25;1;15/01/1997;6;Swan Hill tournament report, social notes, coming events, committee list, crossballs. Labelled as Vol 16.;Yes;0.8;1997_01_15_volume_025_issue_003.pdf
1996;24;3;15/06/1996;6;Match reports, social notes, coming events, committee list;Yes;0.8;1996_06_15_volume_024_issue_003.pdf
1996;24;2;;;This issue not found;;;
1996;24;1;;;This issue not found;;;
1995;23;6;15/11/1995;8;Match reports, social notes & coming events;Yes;0.5;1995_11_15_volume_023_issue_006.pdf
1995;23;5;15/10/1995;4;Team reports, social notes and coming events;Yes;0.5;1995_10_15_volume_023_issue_005.pdf
1995;23;4;;;This issue not found;;;
1995;23;3;15/08/1995;3;Match, Moe & Womens IV qualifying tournaments reports, social notes;Yes;0.4;1995_08_15_volume_023_issue_003.pdf
1995;23;2;15/06/1995;5;Team & Portland tournament reports, social notes, coming events, crossballs;Yes;0.7;1995_06_15_volume_023_issue_002.pdf
1995;23;1;30/04/1995;7;Match, team & tournament reports and social notes;Yes;0.9;1995_04_30_volume_023_issue_001.pdf
1994;22;1;31/08/1994;4;Match, IV qualifying & Moe tournament reports, committee list, social notes & coming events. (labelled as Issue 21 Number 1).;Yes;0.6;1994_08_31_volume_022_issue_001.pdf
1993;21;2;16/08/1993;9;Match, Portland, Moe, & I.V. Qualifying tournaments report, social notes;Yes;0.8;1993_08_16_volume_021_issue_002.pdf
1993;21;1;1/05/1993;7;Match, Warrnambool tournament reports, coming events, committee list;Yes;0.7;1993_05_01_volume_021_issue_001.pdf
1992;20;6;2/12/1992;4;Match reports, social notes and coming events;Yes;0.3;1992_12_02_volume_020_issue_006.pdf
1992;20;5;28/07/1992;6;Match & Portland tournament reports, social notes, coming events;Yes;0.5;1992_07_28_volume_020_issue_005.pdf
1992;20;4;;;This issue not found;;;
1992;20;3;6/06/1992;7;Match reports, social notes;Yes;0.6;1992_06_06_volume_020_issue_003.pdf
